日付,消費支出,傾向変動,傾向変動調整分,月,季節変動調整分
2003-12-01,121.18871927129456,103.34698503295715,117.84173423833734,12,6.246583358534281
2004-01-01,102.78224520155861,103.27241044419638,99.50983475736216,1,2.6924741557934624
2004-02-01,97.20124860624769,103.19847983232468,94.00276877392294,2,5.092431659067685
2004-03-01,109.88378106120726,103.12518988567123,106.75859117553595,3,2.596005878340577
2004-04-01,111.07851485158436,103.05253729256523,108.02597755901905,4,6.594220015258159
2004-05-01,102.334987634687,102.98051874133586,99.35446889335107,5,4.49548013654659
2004-06-01,96.5475907129403,102.90913092031231,93.63845979262793,6,2.1924890842587814
2004-07-01,103.23973749536093,102.83837051782375,100.40136697753711,7,4.259871862656567
2004-08-01,102.70855516765758,102.76823422219937,99.94032094545814,8,3.536046605855418
2004-09-01,97.21148333317839,102.69871872176837,94.51276461140995,9,2.0669209937697133
2004-10-01,101.25351815567633,102.62982070485992,98.62369745081634,10,1.8950041767433845
2004-11-01,98.1871939672385,102.56153685980321,95.62565710743522,11,1.9500475318067743
2004-12-01,117.91872401693577,102.49386387492744,115.42486014200826,12,2.976588104175491
2005-01-01,103.07905228254893,102.42679843856179,100.65225384398707,1,2.989281236783782
2005-02-01,92.93370863370998,102.36033723903543,90.57337139467448,2,0.8248916865299805
2005-03-01,108.94286849871153,102.29447696467756,106.6483915340339,3,1.6550933158448515
2005-04-01,108.43488488538443,102.22921430381736,106.205670581567,4,3.950590049058235
2005-05-01,100.90860785811174,102.16454594478402,98.74406191332764,5,3.06910035997133
2005-06-01,96.8894305924257,102.10046857590672,94.78896201651891,6,2.534328963744173
2005-07-01,100.56096830003227,102.03697888551466,98.52398941451754,7,1.5811026673279116
2005-08-01,103.09815710615291,101.974073561937,101.12408354421584,8,3.92564854435075
2005-09-01,98.30352869668413,101.91174929350296,96.39177940318109,9,3.158966357275446
2005-10-01,102.39707831139992,101.8500027685417,100.54707554285815,10,3.0385643324669758
2005-11-01,96.75330872424738,101.78883067538243,94.96447804886488,11,0.5161622888156501
2005-12-01,118.04154074010418,101.7282297023543,116.31331103774981,12,3.0994048273439034
2006-01-01,100.51081813807184,101.66819653778651,98.84262160028526,1,0.42104709230669357
2006-02-01,91.91398867384788,101.60872787000827,90.30526080383954,2,-0.19482827333212072
2006-03-01,106.90172279116553,101.54982038734875,105.35190240381671,3,-0.38605239170115624
2006-04-01,106.73864947540304,101.49147077813711,105.24717869726585,4,2.254354639076837
2006-05-01,99.65690075448708,101.43367573070257,98.22322502378444,5,1.8173932563466764
2006-06-01,95.80523185290016,101.37643193337432,94.42879991952577,6,1.4501302242186398
2006-07-01,99.7299084732594,101.31973607448151,98.41017239877782,7,0.7500428405550394
2006-08-01,99.64768950024944,101.26358484235337,98.384104657896,8,0.4751809384472807
2006-09-01,93.2021996368587,101.20797492531905,91.99422471153957,9,-1.9423627025499854
2006-10-01,100.53674611296294,101.15290301170775,99.38384310125512,10,1.1782321340299973
2006-11-01,96.49982865393036,101.09836578984864,95.40146286408165,11,0.2626822184986395
2006-12-01,116.3207419854891,101.04435994807095,115.27638203741807,12,1.3786060727288145
2007-01-01,101.14366541995348,100.99088217470381,100.1527832452496,1,1.0538943741883315
2007-02-01,93.05516072662097,100.93792915807646,92.11723156854444,2,0.9463437794409657
2007-03-01,106.97438935237349,100.88549758651803,106.0888917658554,3,-0.31338583049318913
2007-04-01,107.86139901970087,100.83358414835774,107.02781487134305,4,3.3771041833746693
2007-05-01,100.03797375387349,100.78218553192478,99.25578822194863,5,2.1984662557330807
2007-06-01,95.72437751014763,100.73129842554833,94.99307908459923,6,1.369275881466109
2007-07-01,99.49246280846715,100.68091951755757,98.81154329090951,7,0.5125971757627923
2007-08-01,100.99457956432963,100.63104549628167,100.36353406804788,8,1.8220710025274656
2007-09-01,96.01811417305873,100.58167305004986,95.4364411230088,9,0.8735518336500547
2007-10-01,101.31833809290411,100.53279886719127,100.78553922571277,10,1.959824113971166
2007-11-01,96.4916408723858,100.48441963603514,96.00722123635059,11,0.2544944369540758
2007-12-01,119.97385718462041,100.43653204491062,119.53732513970972,12,5.031721271860135
2008-01-01,105.69948353437258,100.38913278214692,105.31035075222559,1,5.609712488607428
2008-02-01,94.10046750380984,100.3422185360732,93.75824896773656,2,1.9916505566298355
2008-03-01,106.63391410314553,100.29578599501866,106.3381281081268,3,-0.6538610797211533
2008-04-01,105.99594945779853,100.24983184731249,105.74611761048597,4,1.5116546214723314
2008-05-01,98.29704670296135,100.20435278128387,98.09269392167741,5,0.45753920482094657
2008-06-01,96.18971642793014,100.159345485262,96.03037094266807,6,1.8346147992486124
2008-07-01,101.78981784684504,100.11480664757603,101.67501119926894,7,2.8099522141406794
2008-08-01,99.32938949270466,100.07073295655518,99.25865653614942,8,0.15688093090250277
2008-09-01,96.01299680959337,100.02712110052863,95.98587570906467,9,0.8684344701846953
2008-10-01,99.4487946402295,99.98396776782555,99.46482687240388,10,0.09028066129654633
2008-11-01,97.14871034133677,99.94126964677514,97.20744069456156,11,0.9115639059050409
2008-12-01,114.96191140665644,99.89902342570659,115.06288798094978,12,0.01977549389616229
2009-01-01,99.42696055611067,99.85722579294907,99.56973476316153,1,-0.6628104896544755
2009-02-01,90.76292305170844,99.81587343683177,90.9470496148766,2,-1.345893895471562
2009-03-01,105.99083209433317,99.77496304568389,106.21586904864921,3,-1.29694308853351
2009-04-01,104.5102082650252,99.7344913078346,104.77571695719053,4,0.02591342869899904
2009-05-01,97.4107193507627,99.6944549116131,97.71626443914954,5,-0.428788147377702
2009-06-01,94.58149966955276,99.65485054534855,94.92664912420413,6,0.2263980408712314
2009-07-01,97.25651613167348,99.61567489737017,97.64084123430324,7,-1.7233495010308815
2009-08-01,99.26729881599175,99.57692465600712,99.69037415998456,8,0.09479025418958997
2009-09-01,94.53817265887946,99.5385965095886,94.99957614929079,9,-0.6063896805292188
2009-10-01,98.18139428864444,99.5006871464438,98.68070714220057,10,-1.1771196902885066
2009-11-01,97.14120487492092,99.46319325490188,97.67801162001896,11,0.9040584394891908
2009-12-01,115.27270594778535,99.42611152329206,115.84659442449322,12,0.330570035025076
2010-01-01,99.59003387187316,99.3894386399435,100.20059523192958,1,-0.4997371738919867
2010-02-01,89.09773298008349,99.3531712931854,89.74456168689802,2,-3.0110839670965106
2010-03-01,109.16735017605824,99.31730617134693,109.85004400471124,3,1.8795749931915537
2010-04-01,102.34590467674643,99.2818399627573,103.06406471398905,4,-2.138390159579771
2010-05-01,95.76770452082093,99.24676935574567,96.52093516507519,5,-2.0718029773194786
2010-06-01,94.32801959923574,99.21209103864125,95.11592856059443,6,-0.0270820294457792
2010-07-01,97.32338301428739,99.17780169977321,98.1455813145141,7,-1.6564826184169732
2010-08-01,100.08232423723986,99.14389802747074,100.93842620976905,8,0.9098156754376987
2010-09-01,93.94353502420576,99.11037671006302,94.83315831414266,9,-1.2010273152029214
2010-10-01,98.05994219573347,99.07723443587926,98.98270775985414,10,-1.2985717831994776
2010-11-01,96.96107368094059,99.04446789324862,97.91660578769189,11,0.723927245508861
2010-12-01,111.56057049002032,99.01207377050028,112.54849671951997,12,-3.3815654227399534
2011-01-01,98.6596971938725,98.98004875596345,99.67964843790898,1,-1.4300738518926437
2011-02-01,88.97150468127151,98.94838953796732,90.02311514330412,2,-3.1373122659084913
2011-03-01,99.58389303571474,98.91709280484105,100.66680023087362,3,-7.703882147151944
2011-04-01,99.8087158706258,98.88615524491382,100.92256062571191,4,-4.675578965700396
2011-05-01,94.21373181517625,98.85557354651486,95.35815826866131,5,-3.6257756829641608
2011-06-01,90.68206870895591,98.82534439797332,91.85672431098251,6,-3.673032919725614
2011-07-01,95.53981126783067,98.7954644876184,96.7443467802122,7,-3.4400543648736885
2011-08-01,96.20916240909847,98.76593050377927,97.44323190531912,8,-2.963346152703693
2011-09-01,92.11595395194703,98.73673913478514,93.37921481716182,9,-3.028608387461645
2011-10-01,97.43630616808944,98.70788706896516,98.72841909912421,10,-1.9222078108435028
2011-11-01,93.28203050691816,98.67937099464856,94.60265951226953,11,-2.955115928513564
2011-12-01,111.9269737141394,98.6511876001645,113.27578611397482,12,-3.015162198620885
2012-01-01,96.58989425092052,98.62333357384217,97.96656067707828,1,-3.4998767948446243
2012-02-01,91.38075940075838,98.59580560401076,92.78495379674754,2,-0.7280575464216241
2012-03-01,103.65765551169785,98.56860037899946,105.08905513269832,3,-3.6301196711688277
2012-04-01,103.01184424237067,98.54171458713743,104.47012965523317,4,-1.4724505939555286
2012-05-01,98.22301551149594,98.5151449167539,99.70787059474198,5,0.38350801335553797
