Date,Open,High,Low,Close
2022-01-31,1.789,1.816,1.771,1.78
2022-01-28,1.83,1.848,1.773,1.777
2022-01-27,1.84,1.851,1.783,1.799
2022-01-26,1.769,1.876,1.769,1.867
2022-01-25,1.753,1.792,1.735,1.776
2022-01-24,1.762,1.776,1.71,1.772
2022-01-21,1.779,1.797,1.74,1.77
2022-01-20,1.854,1.854,1.806,1.808
2022-01-19,1.879,1.897,1.825,1.866
2022-01-18,1.838,1.879,1.807,1.877
2022-01-14,1.712,1.793,1.71,1.791
2022-01-13,1.743,1.755,1.695,1.706
2022-01-12,1.745,1.752,1.711,1.745
2022-01-11,1.76,1.78,1.737,1.739
2022-01-10,1.798,1.808,1.752,1.757
2022-01-07,1.727,1.794,1.723,1.765
2022-01-06,1.725,1.751,1.723,1.723
2022-01-05,1.649,1.709,1.642,1.709
2022-01-04,1.626,1.682,1.623,1.651
2022-01-03,1.536,1.64,1.531,1.633
2021-12-31,1.52,1.524,1.495,1.512
2021-12-30,1.543,1.544,1.503,1.512
2021-12-29,1.476,1.558,1.474,1.553
2021-12-28,1.484,1.489,1.457,1.484
2021-12-27,1.481,1.498,1.477,1.479
2021-12-23,1.465,1.499,1.46,1.493
2021-12-22,1.462,1.484,1.45,1.455
2021-12-21,1.431,1.498,1.416,1.462
2021-12-20,1.367,1.428,1.365,1.428
2021-12-17,1.414,1.433,1.373,1.406
2021-12-16,1.45,1.472,1.412,1.419
2021-12-15,1.429,1.48,1.429,1.462
2021-12-14,1.426,1.468,1.424,1.444
2021-12-13,1.489,1.496,1.414,1.419
2021-12-10,1.515,1.52,1.455,1.487
2021-12-09,1.509,1.509,1.475,1.502
2021-12-08,1.46,1.533,1.429,1.525
2021-12-07,1.453,1.485,1.434,1.477
2021-12-06,1.377,1.443,1.372,1.438
2021-12-03,1.443,1.465,1.34,1.346
2021-12-02,1.438,1.463,1.414,1.446
2021-12-01,1.458,1.502,1.404,1.405
2021-11-30,1.454,1.475,1.421,1.448
2021-11-29,1.521,1.564,1.499,1.502
2021-11-26,1.543,1.55,1.475,1.482
2021-11-24,1.638,1.688,1.636,1.641
2021-11-23,1.624,1.682,1.617,1.669
2021-11-22,1.569,1.634,1.548,1.63
2021-11-19,1.603,1.606,1.519,1.55
2021-11-18,1.586,1.611,1.577,1.587
2021-11-17,1.635,1.646,1.587,1.587
2021-11-16,1.613,1.644,1.597,1.639
2021-11-15,1.553,1.63,1.543,1.618
2021-11-12,1.568,1.584,1.544,1.565
2021-11-10,1.478,1.577,1.468,1.553
2021-11-09,1.486,1.49,1.417,1.439
2021-11-08,1.469,1.5,1.46,1.492
2021-11-05,1.532,1.535,1.436,1.453
2021-11-04,1.6,1.6,1.516,1.53
2021-11-03,1.538,1.607,1.521,1.603
2021-11-02,1.551,1.565,1.533,1.547
2021-11-01,1.561,1.601,1.558,1.561
2021-10-29,1.594,1.615,1.538,1.561
2021-10-28,1.541,1.582,1.536,1.582
2021-10-27,1.62,1.622,1.52,1.552
2021-10-26,1.63,1.651,1.61,1.61
2021-10-25,1.652,1.67,1.624,1.633
2021-10-22,1.677,1.693,1.635,1.636
2021-10-21,1.641,1.705,1.641,1.705
2021-10-20,1.651,1.658,1.623,1.658
2021-10-19,1.579,1.645,1.567,1.641
2021-10-18,1.595,1.625,1.577,1.604
2021-10-15,1.532,1.577,1.532,1.574
2021-10-14,1.561,1.561,1.507,1.514
2021-10-13,1.58,1.593,1.53,1.538
2021-10-12,1.607,1.619,1.566,1.572
2021-10-08,1.587,1.615,1.558,1.615
2021-10-07,1.533,1.576,1.515,1.575
2021-10-06,1.557,1.568,1.51,1.522
2021-10-05,1.491,1.536,1.481,1.529
2021-10-04,1.472,1.507,1.469,1.481
2021-10-01,1.484,1.507,1.463,1.463
2021-09-30,1.534,1.557,1.489,1.489
2021-09-29,1.515,1.546,1.496,1.518
2021-09-28,1.544,1.56,1.515,1.546
2021-09-27,1.449,1.51,1.444,1.489
2021-09-24,1.435,1.466,1.406,1.454
2021-09-23,1.331,1.435,1.326,1.434
2021-09-22,1.333,1.34,1.302,1.302
