Date,Open,High,Low,Close,Volume
2022-01-31,4431.79,4516.89,4414.02,4515.55,2960132803
2022-01-28,4336.19,4432.72,4292.46,4431.85,2926083817
2022-01-27,4380.58,4428.74,4309.5,4326.51,3070684348
2022-01-26,4408.43,4453.23,4304.8,4349.93,3239353450
2022-01-25,4366.64,4411.01,4287.11,4356.45,3069079477
2022-01-24,4356.32,4417.35,4222.62,4410.13,3888349334
2022-01-21,4471.38,4494.52,4395.34,4397.94,3210070654
2022-01-20,4547.35,4602.11,4477.95,4482.73,2556569239
2022-01-19,4588.03,4611.55,4530.2,4532.76,2494214499
2022-01-18,4632.24,4632.24,4568.7,4577.11,2741096372
2022-01-14,4637.99,4665.13,4614.75,4662.85,2522462949
2022-01-13,4733.56,4744.13,4650.29,4659.03,2392404427
2022-01-12,4728.59,4748.83,4706.71,4726.35,2122392627
2022-01-11,4669.14,4714.13,4638.27,4713.07,2238558923
2022-01-10,4655.34,4673.02,4582.24,4670.29,2668776356
2022-01-07,4697.66,4707.95,4662.74,4677.03,2414328227
2022-01-06,4693.39,4725.01,4671.26,4696.05,2389339330
2022-01-05,4787.99,4797.7,4699.44,4700.58,2810603586
2022-01-04,4804.51,4818.62,4774.27,4793.54,2841121018
2022-01-03,4778.14,4796.64,4758.17,4796.56,2241373299
2021-12-31,4775.21,4786.83,4765.75,4766.18,1339318824
2021-12-30,4794.23,4808.93,4775.33,4778.73,1353236996
2021-12-29,4788.64,4804.06,4778.08,4793.06,1365873126
2021-12-28,4795.49,4807.02,4780.04,4786.35,1432143549
2021-12-27,4733.99,4791.49,4733.99,4791.19,1503734418
2021-12-23,4703.96,4740.74,4703.96,4725.79,1617243125
2021-12-22,4650.36,4697.67,4645.53,4696.56,1874604891
2021-12-21,4594.96,4651.14,4583.16,4649.23,2298114520
2021-12-20,4587.9,4587.9,4531.1,4568.02,2468207427
2021-12-17,4652.5,4666.7,4600.22,4620.64,4573690712
2021-12-16,4719.13,4731.99,4651.89,4668.67,2745064817
2021-12-15,4636.46,4712.6,4611.22,4709.85,2575621271
2021-12-14,4642.99,4660.47,4606.52,4634.09,2481788465
2021-12-13,4710.3,4710.3,4667.6,4668.97,2427488597
2021-12-10,4687.64,4713.57,4670.24,4712.02,2130792886
2021-12-09,4691.0,4695.26,4665.98,4667.45,2021704694
2021-12-08,4690.86,4705.06,4674.52,4701.21,2169237673
2021-12-07,4631.97,4694.04,4631.97,4686.75,2483715209
2021-12-06,4548.37,4612.6,4540.51,4591.67,2591430683
2021-12-03,4589.49,4608.03,4495.12,4538.43,2714009311
2021-12-02,4504.73,4595.46,4504.73,4577.1,2801558306
2021-12-01,4602.82,4652.94,4510.27,4513.04,3055980587
2021-11-30,4640.25,4646.02,4560.0,4567.0,4064157980
2021-11-29,4628.75,4672.95,4625.26,4655.27,2505188610
2021-11-26,4664.63,4664.63,4585.43,4594.62,2132760977
2021-11-24,4675.78,4702.87,4659.89,4701.46,1849716721
2021-11-23,4678.48,4699.39,4652.66,4690.7,2230377284
2021-11-22,4712.0,4743.83,4682.17,4682.94,2465454579
2021-11-19,4708.44,4717.75,4694.22,4697.96,2452147236
2021-11-18,4700.72,4708.8,4672.78,4704.54,2229419489
2021-11-17,4701.5,4701.5,4684.41,4688.67,2073793765
