Date,Open,High,Low,Close,Volume
2022-01-31,13812.2,14242.9,13767.71,14239.88,3268652504
2022-01-28,13436.71,13771.91,13236.55,13770.57,3092819850
2022-01-27,13710.99,13765.91,13322.66,13352.78,3373437394
2022-01-26,13871.77,14002.65,13392.19,13542.12,3664304374
2022-01-25,13610.87,13781.63,13414.14,13539.29,3265336637
2022-01-24,13481.5,13876.61,13094.65,13855.13,4391796595
2022-01-21,14046.23,14171.72,13764.24,13768.92,3701238939
2022-01-20,14462.85,14642.03,14140.79,14154.02,3156949593
2022-01-19,14582.22,14658.89,14331.66,14340.25,2826320698
2022-01-18,14681.83,14740.54,14482.95,14506.9,3228893392
2022-01-14,14708.02,14897.68,14689.43,14893.75,2617633041
2022-01-13,15245.04,15259.71,14782.24,14806.81,2710839462
2022-01-12,15263.1,15319.04,15117.29,15188.39,2781752709
2022-01-11,14919.26,15158.71,14837.64,15153.45,2815782016
2022-01-10,14751.78,14953.86,14530.23,14942.83,3473879503
2022-01-07,15095.72,15171.02,14877.63,14935.9,2572373277
2022-01-06,15024.15,15198.45,14914.87,15080.87,2879087999
2022-01-05,15547.16,15586.3,15095.18,15100.17,3044334793
2022-01-04,15852.14,15852.14,15512.41,15622.72,3413659981
2022-01-03,15732.5,15832.8,15644.09,15832.8,2825224841
2021-12-31,15722.91,15777.43,15643.94,15644.97,2146394341
2021-12-30,15758.98,15868.09,15729.16,15741.56,2379084921
2021-12-29,15794.92,15821.81,15679.85,15766.22,2326179282
2021-12-28,15895.2,15901.47,15757.07,15781.72,2339032827
2021-12-27,15696.83,15871.4,15696.83,15871.26,2477838553
2021-12-23,15544.79,15697.98,15528.91,15653.37,2435007992
2021-12-22,15319.16,15525.97,15303.06,15521.89,2751559956
2021-12-21,15140.43,15349.07,15015.03,15341.09,2904572952
2021-12-20,14933.0,15007.3,14860.04,14980.94,2884617295
2021-12-17,15036.77,15288.78,14960.37,15169.68,5076495071
2021-12-16,15629.08,15633.19,15119.49,15180.43,3029830118
2021-12-15,15230.71,15575.76,15055.23,15565.58,3383389458
2021-12-14,15215.96,15317.55,15097.35,15237.64,3206882597
2021-12-13,15621.27,15637.06,15408.25,15413.28,2929754612
2021-12-10,15629.59,15677.6,15477.85,15630.6,2700032570
2021-12-09,15720.54,15796.05,15511.12,15517.37,2673102708
2021-12-08,15690.65,15792.64,15618.88,15786.99,3072590474
2021-12-07,15510.91,15720.09,15507.66,15686.92,3117567404
2021-12-06,15117.63,15281.99,14931.61,15225.15,3179700514
2021-12-03,15428.71,15470.36,14931.05,15085.47,3715025630
2021-12-02,15181.82,15444.54,15150.12,15381.32,3410785522
2021-12-01,15752.27,15816.82,15243.93,15254.05,4153119598
2021-11-30,15716.5,15828.2,15451.39,15537.69,4258841614
2021-11-29,15719.42,15833.11,15644.61,15782.83,2884614763
