Date,Open,High,Low,Close
2022-01-31,1.1986,1.2145,1.1587,1.1827
2022-01-28,1.2141,1.226,1.1603,1.1703
2022-01-27,1.1822,1.2061,1.1603,1.1882
2022-01-26,1.0313,1.1603,1.0154,1.1544
2022-01-25,1.0055,1.0353,0.9897,1.0254
2022-01-24,1.0326,1.0326,0.9382,0.9751
2022-01-21,1.0199,1.0343,0.9912,1.0138
2022-01-20,1.0617,1.0617,1.0269,1.0269
2022-01-19,1.0654,1.0735,1.0041,1.0592
2022-01-18,1.0364,1.0527,1.0058,1.0465
2022-01-14,0.916,0.9709,0.91,0.9709
2022-01-13,0.9151,0.9232,0.8909,0.8949
2022-01-12,0.9048,0.9229,0.8907,0.9229
2022-01-11,0.9086,0.9449,0.8865,0.8865
2022-01-10,0.8984,0.9064,0.8643,0.8984
2022-01-07,0.8761,0.9042,0.862,0.8701
2022-01-06,0.8516,0.8836,0.8516,0.8696
2022-01-05,0.7679,0.8316,0.7599,0.8296
2022-01-04,0.7718,0.7957,0.754,0.7619
2022-01-03,0.7658,0.8016,0.7579,0.7718
2021-12-31,0.7302,0.7381,0.7203,0.7341
2021-12-30,0.7402,0.752,0.7263,0.7283
2021-12-29,0.7402,0.7598,0.7382,0.752
2021-12-28,0.748,0.7559,0.7402,0.7539
2021-12-27,0.7151,0.7172,0.7028,0.7028
2021-12-23,0.6751,0.6914,0.673,0.6914
2021-12-22,0.6647,0.681,0.6647,0.6647
2021-12-21,0.6441,0.6766,0.6258,0.6685
2021-12-20,0.6073,0.6358,0.5891,0.6358
2021-12-17,0.6255,0.6518,0.6052,0.6396
2021-12-16,0.6451,0.6714,0.6149,0.6169
2021-12-15,0.661,0.7074,0.657,0.6671
2021-12-14,0.6387,0.6648,0.6387,0.6568
2021-12-13,0.6686,0.6767,0.6324,0.6365
2021-12-10,0.7267,0.7267,0.6383,0.6564
2021-12-09,0.6797,0.6937,0.6717,0.6917
2021-12-08,0.6795,0.7115,0.6675,0.6835
2021-12-07,0.6652,0.6932,0.6553,0.6932
2021-12-06,0.6173,0.6351,0.6053,0.6332
2021-12-03,0.635,0.6489,0.5853,0.5913
2021-12-02,0.5909,0.6304,0.5869,0.6166
2021-12-01,0.5769,0.6165,0.5513,0.5552
2021-11-30,0.4803,0.5709,0.4469,0.5709
2021-11-29,0.5393,0.5512,0.4882,0.4882
2021-11-26,0.5728,0.5728,0.4922,0.5078
2021-11-24,0.5905,0.6536,0.5885,0.6437
2021-11-23,0.626,0.6437,0.6063,0.6181
2021-11-22,0.5476,0.5944,0.5273,0.5924
2021-11-19,0.5108,0.5148,0.4479,0.5128
2021-11-18,0.5042,0.5102,0.492,0.5021
2021-11-17,0.5242,0.5262,0.4979,0.502
2021-11-16,0.53,0.5401,0.5139,0.522
2021-11-15,0.5116,0.5338,0.5016,0.5197
2021-11-12,0.5416,0.5456,0.5054,0.5155
2021-11-10,0.4569,0.5229,0.4489,0.5169
2021-11-09,0.4227,0.4327,0.4088,0.4227
2021-11-08,0.4227,0.4525,0.4147,0.4446
2021-11-05,0.4385,0.4504,0.3929,0.4048
2021-11-04,0.4759,0.4759,0.3948,0.4264
2021-11-03,0.458,0.4955,0.4461,0.4757
2021-11-02,0.4717,0.4835,0.444,0.448
2021-11-01,0.511,0.5229,0.4972,0.5011
2021-10-29,0.5069,0.5443,0.4694,0.501
2021-10-28,0.5266,0.5601,0.4714,0.4931
2021-10-27,0.499,0.5167,0.4714,0.5049
2021-10-26,0.4376,0.4601,0.4376,0.4437
2021-10-25,0.4577,0.4618,0.4251,0.4353
2021-10-22,0.4493,0.4901,0.4452,0.4554
2021-10-21,0.3916,0.4565,0.3916,0.4565
2021-10-20,0.3975,0.3975,0.3753,0.3874
2021-10-19,0.4014,0.4034,0.3892,0.3994
2021-10-18,0.4133,0.4436,0.4072,0.4274
2021-10-15,0.3606,0.4009,0.3586,0.3949
2021-10-14,0.3581,0.3642,0.3421,0.3642
2021-10-13,0.35,0.378,0.344,0.36
2021-10-12,0.3479,0.3598,0.3359,0.3419
2021-10-08,0.3158,0.3218,0.2958,0.3198
2021-10-07,0.3016,0.3095,0.2975,0.3095
2021-10-06,0.2915,0.3015,0.2896,0.2955
2021-10-05,0.2836,0.2895,0.2796,0.2856
2021-10-04,0.2658,0.2835,0.2638,0.2816
2021-10-01,0.2815,0.2835,0.2638,0.2657
2021-09-30,0.2951,0.3011,0.2794,0.2794
2021-09-29,0.301,0.301,0.2931,0.2931
2021-09-28,0.3206,0.3206,0.301,0.3049
2021-09-27,0.2697,0.2881,0.2677,0.2799
2021-09-24,0.2613,0.2756,0.2532,0.2715
2021-09-23,0.2486,0.2628,0.2466,0.2608
2021-09-22,0.2201,0.2424,0.216,0.2383
2021-09-21,0.2179,0.2219,0.2098,0.2159
2021-09-20,0.2258,0.2258,0.2137,0.2178
2021-09-17,0.2237,0.2297,0.2217,0.2257
2021-09-16,0.2152,0.2233,0.2132,0.2213
2021-09-15,0.2091,0.2151,0.2091,0.2111
2021-09-14,0.217,0.219,0.205,0.209
2021-09-13,0.2189,0.2209,0.2109,0.2129
2021-09-10,0.2167,0.2207,0.2147,0.2147
2021-09-09,0.2164,0.2223,0.2124,0.2144
2021-09-08,0.2182,0.2202,0.2142,0.2202
2021-09-07,0.2042,0.222,0.2042,0.222
2021-09-03,0.2081,0.212,0.2061,0.2081
2021-09-02,0.2115,0.2135,0.2076,0.2076
2021-09-01,0.2134,0.2153,0.2035,0.2114
2021-08-31,0.2034,0.2113,0.2014,0.2113
2021-08-30,0.2151,0.219,0.2033,0.2033
2021-08-27,0.2406,0.2445,0.2151,0.219
2021-08-26,0.2406,0.2465,0.2327,0.2426
2021-08-25,0.2445,0.2484,0.2406,0.2406
2021-08-24,0.2365,0.2365,0.2243,0.2243
2021-08-23,0.2323,0.2343,0.2242,0.2262
2021-08-20,0.22,0.2281,0.214,0.2281
2021-08-19,0.2096,0.2236,0.2035,0.2216
2021-08-18,0.2155,0.2336,0.2114,0.2175
2021-08-17,0.2033,0.2173,0.1992,0.2173
2021-08-16,0.2011,0.2132,0.1971,0.2132
2021-08-13,0.2231,0.2271,0.2091,0.2091
2021-08-12,0.2187,0.2287,0.2187,0.2247
2021-08-11,0.2445,0.2465,0.2166,0.2206
2021-08-10,0.2224,0.2404,0.2224,0.2404
2021-08-09,0.2064,0.2223,0.2004,0.2223
2021-08-06,0.2083,0.2162,0.2043,0.2122
2021-08-05,0.1882,0.2079,0.1842,0.202
2021-08-04,0.1743,0.192,0.1624,0.1822
2021-08-03,0.1762,0.1821,0.1683,0.1742
2021-08-02,0.184,0.184,0.1721,0.1742
